Epoch: 1, Train Loss: 2.580209174432468, Val Loss: 2.0697627104245697, Took 0:03:53.225848, ETA: 0:34:59.032632

Epoch: 2, Train Loss: 1.9672192498849697, Val Loss: 1.900570108798834, Took 0:03:49.676458, ETA: 0:30:37.411664

Epoch: 3, Train Loss: 1.7861737100351522, Val Loss: 1.765950322151184, Took 0:03:42.714775, ETA: 0:25:59.003425

Epoch: 4, Train Loss: 1.6569815186983525, Val Loss: 1.6665676369116857, Took 0:03:52.603930, ETA: 0:23:15.623580

Epoch: 5, Train Loss: 1.571384544894419, Val Loss: 1.640781619457098, Took 0:03:57.423461, ETA: 0:19:47.117305

Epoch: 6, Train Loss: 1.5150114994192327, Val Loss: 1.612253776880411, Took 0:03:54.024998, ETA: 0:15:36.099992

Epoch: 7, Train Loss: 1.4469199721905295, Val Loss: 1.5989667172615345, Took 0:03:56.248556, ETA: 0:11:48.745668

Epoch: 8, Train Loss: 1.4028161436703073, Val Loss: 1.555129530796638, Took 0:03:48.224945, ETA: 0:07:36.449890

Epoch: 9, Train Loss: 1.3531315185993014, Val Loss: 1.5556691197248607, Took 0:03:50.286065, ETA: 0:03:50.286065

Epoch: 10, Train Loss: 1.3145587769189107, Val Loss: 1.5464724306876843, Took 0:03:50.385351, ETA: 0:00:00

Test Performance: Loss: 1.5512384982819254, Bleu1: 0.6493306480282048, Bleu4: 0.06833934323694305
