Epoch: 1, Train Loss: 2.5780678283503127, Val Loss: 2.1040496894946465, Took 0:03:50.051016, ETA: 0:34:30.459144

Epoch: 2, Train Loss: 2.008987061148549, Val Loss: 1.9120210684262788, Took 0:03:49.938104, ETA: 0:30:39.504832

Epoch: 3, Train Loss: 1.8257980512447112, Val Loss: 1.779034578341704, Took 0:03:58.537187, ETA: 0:27:49.760309

Epoch: 4, Train Loss: 1.675864842163135, Val Loss: 1.6719104610956632, Took 0:03:44.806131, ETA: 0:22:28.836786

Epoch: 5, Train Loss: 1.5768182443958496, Val Loss: 1.6411682793727287, Took 0:03:55.924886, ETA: 0:19:39.624430

Epoch: 6, Train Loss: 1.4994505413612071, Val Loss: 1.5854908044521625, Took 0:03:55.796371, ETA: 0:15:43.185484

Epoch: 7, Train Loss: 1.429025782689516, Val Loss: 1.5514604004529806, Took 0:03:57.301365, ETA: 0:11:51.904095

Epoch: 8, Train Loss: 1.3762344595700375, Val Loss: 1.5373862110651457, Took 0:03:55.692378, ETA: 0:07:51.384756

Epoch: 9, Train Loss: 1.323897301280959, Val Loss: 1.5307006606688867, Took 0:03:50.060918, ETA: 0:03:50.060918

Epoch: 10, Train Loss: 1.28465772283947, Val Loss: 1.5195039877524743, Took 0:03:51.127468, ETA: 0:00:00

