Epoch: 1, Train Loss: 2.3631038146980843, Val Loss: 1.9828096834512858, Took 0:03:48.148661, ETA: 0:34:13.337949

Epoch: 2, Train Loss: 1.8636883896819512, Val Loss: 1.79870899778146, Took 0:03:51.484484, ETA: 0:30:51.875872

Epoch: 3, Train Loss: 1.6667184654223561, Val Loss: 1.6529819291371566, Took 0:03:50.313223, ETA: 0:26:52.192561

Epoch: 4, Train Loss: 1.5107926930992388, Val Loss: 1.577851104277831, Took 0:03:53.389970, ETA: 0:23:20.339820

Epoch: 5, Train Loss: 1.3993961563437793, Val Loss: 1.517582389483085, Took 0:03:52.200739, ETA: 0:19:21.003695

Epoch: 6, Train Loss: 1.2999925003031292, Val Loss: 1.4895152050715226, Took 0:03:50.871472, ETA: 0:15:23.485888

Epoch: 7, Train Loss: 1.214103606483967, Val Loss: 1.5072406649589538, Took 0:03:49.843105, ETA: 0:11:29.529315

Epoch: 8, Train Loss: 1.1380889586368856, Val Loss: 1.495875389759357, Took 0:03:49.757458, ETA: 0:07:39.514916

Epoch: 9, Train Loss: 1.0665846374925114, Val Loss: 1.4958814841050367, Took 0:03:48.347978, ETA: 0:03:48.347978

Epoch: 10, Train Loss: 0.9949905385275255, Val Loss: 1.5032782646325917, Took 0:03:48.918115, ETA: 0:00:00

