Epoch: 1, Train Loss: 3.007583052610635, Val Loss: 2.8377774752103364, Took 0:03:49.961072, ETA: 0:34:29.649648

Epoch: 2, Train Loss: 2.8331435766342885, Val Loss: 2.82300905080942, Took 0:03:50.699976, ETA: 0:30:45.599808

Epoch: 3, Train Loss: 2.536637880669131, Val Loss: 2.1758223717029277, Took 0:03:49.298829, ETA: 0:26:45.091803

Epoch: 4, Train Loss: 2.0824344656498135, Val Loss: 2.026037346858245, Took 0:03:54.952563, ETA: 0:23:29.715378

Epoch: 5, Train Loss: 1.9595106226691872, Val Loss: 1.961089554658303, Took 0:03:56.276019, ETA: 0:19:41.380095

Epoch: 6, Train Loss: 1.8644640997755682, Val Loss: 1.8620974141817825, Took 0:03:51.753532, ETA: 0:15:27.014128

Epoch: 7, Train Loss: 1.763224015624738, Val Loss: 1.8062571791502147, Took 0:03:37.217467, ETA: 0:10:51.652401

Epoch: 8, Train Loss: 1.6823082550912456, Val Loss: 1.7342604417067307, Took 0:03:49.096194, ETA: 0:07:38.192388

Epoch: 9, Train Loss: 1.6255509218432873, Val Loss: 1.7101791303891403, Took 0:03:47.961443, ETA: 0:03:47.961443

Epoch: 10, Train Loss: 1.5711339921910363, Val Loss: 1.6789946565261253, Took 0:03:54.029003, ETA: 0:00:00

