Epoch: 1, Train Loss: 2.8922057444445564, Val Loss: 2.265047891323383, Took 0:03:51.133251, ETA: 0:34:40.199259

Epoch: 2, Train Loss: 2.1421040917670777, Val Loss: 2.043939332778637, Took 0:03:46.689480, ETA: 0:30:13.515840

Epoch: 3, Train Loss: 1.9590020258027596, Val Loss: 1.9193817496299743, Took 0:03:53.487868, ETA: 0:27:14.415076

Epoch: 4, Train Loss: 1.8323766535955437, Val Loss: 1.8493678867816925, Took 0:03:54.716946, ETA: 0:23:28.301676

Epoch: 5, Train Loss: 1.7421760213221604, Val Loss: 1.7600541059787458, Took 0:03:46.087061, ETA: 0:18:50.435305

Epoch: 6, Train Loss: 1.6446061714012736, Val Loss: 1.7020932486424079, Took 0:03:50.958706, ETA: 0:15:23.834824

Epoch: 7, Train Loss: 1.583199771074778, Val Loss: 1.6744765020333803, Took 0:03:49.589444, ETA: 0:11:28.768332

Epoch: 8, Train Loss: 1.5226633449480769, Val Loss: 1.6252394997156583, Took 0:03:48.434910, ETA: 0:07:36.869820

Epoch: 9, Train Loss: 1.4660917137825438, Val Loss: 1.5845570412965921, Took 0:03:45.312216, ETA: 0:03:45.312216

Epoch: 10, Train Loss: 1.4064452815976778, Val Loss: 1.5819152689897098, Took 0:03:45.965441, ETA: 0:00:00

Test Performance: Loss: 1.5762324916555526, Bleu1: 0.6345344035631909, Bleu4: 0.06197215279777032
