Epoch: 1, Train Loss: 2.4478983350066157, Val Loss: 2.0594317830525912, Took 0:03:50.139721, ETA: 0:34:31.257489

Epoch: 2, Train Loss: 1.9692922820860737, Val Loss: 1.8781285849901346, Took 0:03:50.866752, ETA: 0:30:46.934016

Epoch: 3, Train Loss: 1.7590025543654937, Val Loss: 1.7233780127305252, Took 0:03:49.619877, ETA: 0:26:47.339139

Epoch: 4, Train Loss: 1.6283687224715564, Val Loss: 1.6909083939515628, Took 0:03:52.684707, ETA: 0:23:16.108242

Epoch: 5, Train Loss: 1.5402931805332332, Val Loss: 1.6271365417883947, Took 0:03:54.005941, ETA: 0:19:30.029705

Epoch: 6, Train Loss: 1.465828595806089, Val Loss: 1.5977265376311083, Took 0:03:56.023954, ETA: 0:15:44.095816

Epoch: 7, Train Loss: 1.4084269261667146, Val Loss: 1.5519092756968278, Took 0:03:50.223796, ETA: 0:11:30.671388

Epoch: 8, Train Loss: 1.3458554690487907, Val Loss: 1.5366832008728615, Took 0:03:48.552755, ETA: 0:07:37.105510

Epoch: 9, Train Loss: 1.2932636375590967, Val Loss: 1.5447049824091104, Took 0:03:45.009080, ETA: 0:03:45.009080

Epoch: 10, Train Loss: 1.249392264134894, Val Loss: 1.5411853162141946, Took 0:03:54.002480, ETA: 0:00:00

Test Performance: Loss: 1.5488483299600317, Bleu1: 0.6543309544534651, Bleu4: 0.07059054230356263
